Postal Code,State,Primary_city,Zone
06830,CT,Greenwich,NJ-EDS-B
06831,CT,Greenwich,NJ-EDS-B
07001,NJ,Avenel,NJ-EDS-A
07002,NJ,Bayonne,NJ-EDS-A
07003,NJ,Bloomfield,NJ-EDS-A
07004,NJ,Fairfield,NJ-EDS-A
07006,NJ,Caldwell,NJ-EDS-A
07008,NJ,Carteret,NJ-EDS-A
07009,NJ,Cedar Grove,NJ-EDS-A
07010,NJ,Cliffside Park,NJ-EDS-A
07011,NJ,Clifton,NJ-EDS-A
07012,NJ,Clifton,NJ-EDS-A
07013,NJ,Clifton,NJ-EDS-A
07014,NJ,Clifton,NJ-EDS-A
07016,NJ,Cranford,NJ-EDS-A
07017,NJ,East Orange,NJ-EDS-A
07018,NJ,East Orange,NJ-EDS-A
07020,NJ,Edgewater,NJ-EDS-A
07021,NJ,Essex Fells,NJ-EDS-A
07022,NJ,Fairview,NJ-EDS-A
07023,NJ,Fanwood,NJ-EDS-A
07024,NJ,Fort Lee,NJ-EDS-A
07026,NJ,Garfield,NJ-EDS-A
07027,NJ,Garwood,NJ-EDS-A
07028,NJ,Glen Ridge,NJ-EDS-A
07029,NJ,Harrison,NJ-EDS-A
07030,NJ,Hoboken,NJ-EDS-A
07031,NJ,North Arlington,NJ-EDS-A
07032,NJ,Kearny,NJ-EDS-A
07033,NJ,Kenilworth,NJ-EDS-A
07034,NJ,Lake Hiawatha,NJ-EDS-A
07035,NJ,Lincoln Park,NJ-EDS-A
07036,NJ,Linden,NJ-EDS-A
07039,NJ,Livingston,NJ-EDS-A
07040,NJ,Maplewood,NJ-EDS-A
07041,NJ,Millburn,NJ-EDS-A
07042,NJ,Montclair,NJ-EDS-A
07043,NJ,Montclair,NJ-EDS-A
07044,NJ,Verona,NJ-EDS-A
07045,NJ,Montville,NJ-EDS-A
07047,NJ,North Bergen,NJ-EDS-A
07050,NJ,Orange,NJ-EDS-A
07052,NJ,West Orange,NJ-EDS-A
07054,NJ,Parsippany,NJ-EDS-A
07055,NJ,Passaic,NJ-EDS-A
07057,NJ,Wallington,NJ-EDS-A
07058,NJ,Pine Brook,NJ-EDS-A
07059,NJ,Warren,NJ-EDS-A
07060,NJ,Plainfield,NJ-EDS-A
07062,NJ,Plainfield,NJ-EDS-A
07063,NJ,Plainfield,NJ-EDS-A
07064,NJ,Port Reading,NJ-EDS-A
07065,NJ,Rahway,NJ-EDS-A
07066,NJ,Clark,NJ-EDS-A
07067,NJ,Colonia,NJ-EDS-A
07068,NJ,Roseland,NJ-EDS-A
07069,NJ,Watchung,NJ-EDS-A
07070,NJ,Rutherford,NJ-EDS-A
07071,NJ,Lyndhurst,NJ-EDS-A
07072,NJ,Carlstadt,NJ-EDS-A
07073,NJ,East Rutherford,NJ-EDS-A
07074,NJ,Moonachie,NJ-EDS-A
07075,NJ,Wood Ridge,NJ-EDS-A
07076,NJ,Scotch Plains,NJ-EDS-A
07077,NJ,Sewaren,NJ-EDS-A
07078,NJ,Short Hills,NJ-EDS-A
07079,NJ,South Orange,NJ-EDS-A
07080,NJ,South Plainfield,NJ-EDS-A
07081,NJ,Springfield,NJ-EDS-A
07082,NJ,Towaco,NJ-EDS-A
07083,NJ,Union,NJ-EDS-A
07086,NJ,Weehawken,NJ-EDS-A
07087,NJ,Union City,NJ-EDS-A
07088,NJ,Vauxhall,NJ-EDS-A
07090,NJ,Westfield,NJ-EDS-A
07092,NJ,Mountainside,NJ-EDS-A
07093,NJ,West New York,NJ-EDS-A
07094,NJ,Secaucus,NJ-EDS-A
07095,NJ,Woodbridge,NJ-EDS-A
07097,NJ,Jersey City,NJ-EDS-A
07099,NJ,Kearny,NJ-EDS-A
07102,NJ,Newark,NJ-EDS-A
07103,NJ,Newark,NJ-EDS-A
07104,NJ,Newark,NJ-EDS-A
07105,NJ,Newark,NJ-EDS-A
07106,NJ,Newark,NJ-EDS-A
07107,NJ,Newark,NJ-EDS-A
07108,NJ,Newark,NJ-EDS-A
07109,NJ,Belleville,NJ-EDS-A
07110,NJ,Nutley,NJ-EDS-A
07111,NJ,Irvington,NJ-EDS-A
07112,NJ,Newark,NJ-EDS-A
07114,NJ,Newark,NJ-EDS-A
07175,NJ,Newark,NJ-EDS-A
07184,NJ,Newark,NJ-EDS-A
07188,NJ,Newark,NJ-EDS-A
07189,NJ,Newark,NJ-EDS-A
07191,NJ,Newark,NJ-EDS-A
07192,NJ,Newark,NJ-EDS-A
07193,NJ,Newark,NJ-EDS-A
07195,NJ,Newark,NJ-EDS-A
07198,NJ,Newark,NJ-EDS-A
07199,NJ,Newark,NJ-EDS-A
07201,NJ,Elizabeth,NJ-EDS-A
07202,NJ,Elizabeth,NJ-EDS-A
07203,NJ,Roselle,NJ-EDS-A
07204,NJ,Roselle Park,NJ-EDS-A
07205,NJ,Hillside,NJ-EDS-A
07206,NJ,Elizabeth,NJ-EDS-A
07208,NJ,Elizabeth,NJ-EDS-A
07302,NJ,Jersey City,NJ-EDS-A
07304,NJ,Jersey City,NJ-EDS-A
07305,NJ,Jersey City,NJ-EDS-A
07306,NJ,Jersey City,NJ-EDS-A
07307,NJ,Jersey City,NJ-EDS-A
07310,NJ,Jersey City,NJ-EDS-A
07311,NJ,Jersey City,NJ-EDS-A
07395,NJ,Jersey City,NJ-EDS-A
07399,NJ,Jersey City,NJ-EDS-A
07401,NJ,Allendale,NJ-EDS-A
07407,NJ,Elmwood Park,NJ-EDS-A
07410,NJ,Fair Lawn,NJ-EDS-A
07417,NJ,Franklin Lakes,NJ-EDS-A
07423,NJ,Ho Ho Kus,NJ-EDS-A
07424,NJ,Little Falls,NJ-EDS-A
07430,NJ,Mahwah,NJ-EDS-A
07432,NJ,Midland Park,NJ-EDS-A
07436,NJ,Oakland,NJ-EDS-A
07440,NJ,Pequannock,NJ-EDS-A
07442,NJ,Pompton Lakes,NJ-EDS-A
07444,NJ,Pompton Plains,NJ-EDS-A
07446,NJ,Ramsey,NJ-EDS-A
07450,NJ,Ridgewood,NJ-EDS-A
07452,NJ,Glen Rock,NJ-EDS-A
07458,NJ,Saddle River,NJ-EDS-A
07463,NJ,Waldwick,NJ-EDS-A
07470,NJ,Wayne,NJ-EDS-A
07481,NJ,Wyckoff,NJ-EDS-A
07495,NJ,Mahwah,NJ-EDS-A
07501,NJ,Paterson,NJ-EDS-A
07502,NJ,Paterson,NJ-EDS-A
07503,NJ,Paterson,NJ-EDS-A
07504,NJ,Paterson,NJ-EDS-A
07505,NJ,Paterson,NJ-EDS-A
07506,NJ,Hawthorne,NJ-EDS-A
07508,NJ,Haledon,NJ-EDS-A
07510,NJ,Paterson,NJ-EDS-A
07512,NJ,Totowa,NJ-EDS-A
07513,NJ,Paterson,NJ-EDS-A
07514,NJ,Paterson,NJ-EDS-A
07522,NJ,Paterson,NJ-EDS-A
07524,NJ,Paterson,NJ-EDS-A
07601,NJ,Hackensack,NJ-EDS-A
07603,NJ,Bogota,NJ-EDS-A
07604,NJ,Hasbrouck Heights,NJ-EDS-A
07605,NJ,Leonia,NJ-EDS-A
07606,NJ,South Hackensack,NJ-EDS-A
07607,NJ,Maywood,NJ-EDS-A
07608,NJ,Teterboro,NJ-EDS-A
07620,NJ,Alpine,NJ-EDS-A
07621,NJ,Bergenfield,NJ-EDS-A
07624,NJ,Closter,NJ-EDS-A
07626,NJ,Cresskill,NJ-EDS-A
07627,NJ,Demarest,NJ-EDS-A
07628,NJ,Dumont,NJ-EDS-A
07630,NJ,Emerson,NJ-EDS-A
07631,NJ,Englewood,NJ-EDS-A
07632,NJ,Englewood Cliffs,NJ-EDS-A
07640,NJ,Harrington Park,NJ-EDS-A
07641,NJ,Haworth,NJ-EDS-A
07642,NJ,Hillsdale,NJ-EDS-A
07643,NJ,Little Ferry,NJ-EDS-A
